;Heure;date_heure;weekday;date;vacances_zone_a;vacances_zone_b;vacances_zone_c;nom_vacances;Vac_Ete;Vac_Hiver;Vac_Ascension;Vac_Printemps;Vac_Toussaint;Vac_Noel;est_jour_ferie;nom_jour_ferie;num_sem;Mois;Année;Lundi;Mardi;Mercredi;Jeudi;Vendredi;Samedi;Dimanche;veille_jour_ferie;lendemain_jour_ferie;trafic_passager_heure;nb_transaction_carte_abo_heure;nb_transaction_voyages_heure;nb_appels_entrants_cor
19;19;2018-01-01 19:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.27938025429062413;-0.8902268568044236;-0.17453485725489642
20;20;2018-01-01 20:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.40464409154780084;-0.9151671296574758;-0.4048661164369529
21;21;2018-01-01 21:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.5323640824766868;-0.9405964274684311;-0.6397136748186576
22;22;2018-01-01 22:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
23;23;2018-01-01 23:00:00;Monday;2018-01-01;1;1;1;Vacances de Noel;0;0;0;0;0;1;True;Jour de l'an;1;1;2018;1;0;0;0;0;0;0;False;False;-1.355025087537496;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
24;0;2018-01-02 00:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
25;1;2018-01-02 01:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
26;2;2018-01-02 02:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
27;3;2018-01-02 03:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
28;4;2018-01-02 04:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
29;5;2018-01-02 05:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
30;6;2018-01-02 06:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
31;7;2018-01-02 07:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;-0.493594328704658;-0.9318654352052541;-0.6939092652144356
32;8;2018-01-02 08:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;-0.26122575218920374;-0.8845221905764648;-0.4003498172373048
33;9;2018-01-02 09:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;0.13558827847564917;-0.8036744959026858;0.10095939392364175
34;10;2018-01-02 10:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;0.7361716762386695;-0.6813104174775068;0.8596976594645338
35;11;2018-01-02 11:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;0.8863175256794247;-0.6507193978712121;1.0493822258497567
36;12;2018-01-02 12:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;0.4466046808886419;-0.7403073838610752;0.4938774242930323
37;13;2018-01-02 13:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;0.37153175616826434;-0.7556028936642226;0.39903514110042076
38;14;2018-01-02 14:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;0.510952902077537;-0.727196946886949;0.5751708098866993
39;15;2018-01-02 15:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;0.5574266173806278;-0.717728297961191;0.6338826994821255
40;16;2018-01-02 16:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;0.5645764197349494;-0.7162715827418437;0.6429152978814218
41;17;2018-01-02 17:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;0.5467019138491453;-0.719913370790212;0.620333801883181
42;18;2018-01-02 18:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;0.21423610437318752;-0.7876506284898647;0.20031797631590142
43;19;2018-01-02 19:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;-0.09678029803980522;-0.8510177405314753;-0.1926000540534891
44;20;2018-01-02 20:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;-0.275525356897847;-0.8874356210151595;-0.4184150140358974
45;21;2018-01-02 21:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;-0.32557397337809874;-0.8976326275505909;-0.4816432028309718
46;22;2018-01-02 22:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
47;23;2018-01-02 23:00:00;Tuesday;2018-01-02;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;1;0;0;0;0;0;False;True;-0.6102371029685483;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
48;0;2018-01-03 00:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
49;1;2018-01-03 01:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
50;2;2018-01-03 02:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
51;3;2018-01-03 03:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
52;4;2018-01-03 04:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
53;5;2018-01-03 05:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
54;6;2018-01-03 06:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
55;7;2018-01-03 07:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;-0.4290913753258684;-0.9299814698464941;-0.6126158796207686
56;8;2018-01-03 08:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;-0.05352109501589275;-0.8684251805726998;-0.13840446365771109
57;9;2018-01-03 09:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;0.5616987927299721;-0.7675901162384842;0.6383989986817736
58;10;2018-01-03 10:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;0.7620029422286259;-0.7347600952924604;0.891311753862071
59;11;2018-01-03 11:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;0.9301153534149958;-0.707206327712762;1.1035778162455347
60;12;2018-01-03 12:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;0.8943467552902361;-0.7130688314531235;1.0584148242490532
61;13;2018-01-03 13:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;0.7369649235412941;-0.7388638479107135;0.8596976594645338
62;14;2018-01-03 14:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;0.9229616337900439;-0.7083788284608343;1.0945452178462385
63;15;2018-01-03 15:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;0.7548492226036739;-0.7359325960405328;0.8822791554627746
64;16;2018-01-03 16:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;0.6117748301046355;-0.7593826110019782;0.7016271874768479
65;17;2018-01-03 17:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;0.5509682132925443;-0.7693488673605926;0.6248501010828291
66;18;2018-01-03 18:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;0.18612851241999653;-0.8291464055122786;0.16418758271871609
67;19;2018-01-03 19:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;-0.04636737539094079;-0.8672526798246275;-0.12937186525841476
68;20;2018-01-03 20:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;-0.3182087211391137;-0.9118077082513739;-0.47261060443167546
69;21;2018-01-03 21:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;-0.41836079588844044;-0.9282227187243858;-0.5990669820218241
70;22;2018-01-03 22:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
71;23;2018-01-03 23:00:00;Wednesday;2018-01-03;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;1;0;0;0;0;False;False;-0.30395466548631095;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
72;0;2018-01-04 00:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
73;1;2018-01-04 01:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
74;2;2018-01-04 02:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
75;3;2018-01-04 03:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
76;4;2018-01-04 04:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
77;5;2018-01-04 05:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
78;6;2018-01-04 06:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;-0.7116633005114691;-0.976295249395349;-0.9694035163929738
79;7;2018-01-04 07:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;-0.49029866197301986;-0.9400935530678384;-0.7164907612126764
80;8;2018-01-04 08:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;-0.11476936445243627;-0.8786799610836686;-0.2874423372461006
81;9;2018-01-04 09:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;0.4939833915282991;-0.7791252961830145;0.4080677394997171
82;10;2018-01-04 10:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;0.826030349335973;-0.7248227516917487;0.7874368722701631
83;11;2018-01-04 11:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;0.8220774093620722;-0.72546921055474;0.782920573070515
84;12;2018-01-04 12:00:00;Thursday;2018-01-04;1;1;1;Vacances de Noel;0;0;0;0;0;1;False;;1;1;2018;0;0;0;1;0;0;0;False;False;-0.5513564994728062;1.1027361475090347;-0.6795706312823604;1.1035778162455347
